ID транзакции;Категория;Сумма покупки;Кешбэк
-152992737_5615923;Кафе, рестораны;5079,53;253,98
-152992737_5616195;Кафе, рестораны;2936,67;58,73
-152992737_5616287;Кафе, рестораны;3177,87;63,56
-152992737_5616380;Кафе, рестораны;24642,33;492,85
-152992737_5616492;Кафе, рестораны;2632,8;131,64
-152992737_5616616;Кафе, рестораны;12695,07;1523,41
-152992737_5617691;Кафе, рестораны;3185,6;63,71
-152992737_5617877;Кафе, рестораны;3012,33;60,25
-152992737_5618030;Кафе, рестораны;10345,33;1241,44
-152992737_5618177;Кафе, рестораны;13660,53;1639,26
-152992737_5618361;Кафе, рестораны;2835,47;56,71
-152992737_5618514;Кафе, рестораны;60070,27;7208,43
-152992737_5618693;Кафе, рестораны;36111;4333,32
-152992737_5618893;Кафе, рестораны;12987,4;1558,49
-152992737_5619050;Кафе, рестораны;13003,07;1560,37
-152992737_5619226;Кафе, рестораны;5024,4;100,49
-152992737_5619404;Кафе, рестораны;4745,53;237,28
-152992737_5619460;Кафе, рестораны;4921,53;98,43
-152992737_5619549;Кафе, рестораны;2548,13;50,96
-152992737_5619695;Кафе, рестораны;2339,67;46,79
-152992737_5619780;Кафе, рестораны;8103,67;972,44
-152992737_5619884;Кафе, рестораны;2806;336,72
-152992737_5620557;Кафе, рестораны;14163,2;1699,58
-152992737_5621168;Кафе, рестораны;3631,73;72,63
-152992737_5621320;Кафе, рестораны;13061,73;261,23
-152992737_5621451;Кафе, рестораны;5400,2;108
-152992737_5621578;Кафе, рестораны;5958,4;297,92
-152992737_5621723;Кафе, рестораны;5586,27;670,35
-152992737_5621852;Кафе, рестораны;12351,13;247,02
-152992737_5621956;Кафе, рестораны;34687,47;693,75
-152992737_5622037;Кафе, рестораны;6511,27;781,35
-152992737_5622089;Кафе, рестораны;3168;380,16
-152992737_5622212;Кафе, рестораны;5252,13;105,04
-152992737_5622290;Кафе, рестораны;5728,4;687,41
-152992737_5622457;Кафе, рестораны;2199,27;109,96
-152992737_5622665;Кафе, рестораны;33914,13;4069,7
-152992737_5622795;Кафе, рестораны;2411,27;48,23
-152992737_5622893;Кафе, рестораны;4585,6;229,28
-152992737_5624150;Кафе, рестораны;13382,33;267,65
-152992737_5624303;Кафе, рестораны;7878,6;157,57
-152992737_5624473;Кафе, рестораны;9319,27;186,39
-152992737_5624493;Кафе, рестораны;2778,8;333,46
-152992737_5624690;Кафе, рестораны;6278,47;313,92
-152992737_5624861;Кафе, рестораны;3363,73;67,27
-152992737_5625120;Кафе, рестораны;7927,73;158,55
-152992737_5625255;Кафе, рестораны;2932,87;351,94
-152992737_5625323;Кафе, рестораны;18114;362,28
-152992737_5625448;Кафе, рестораны;4940,4;247,02
-152992737_5625601;Кафе, рестораны;13461,87;673,09
-152992737_5625705;Кафе, рестораны;4176;208,8
-152992737_5625785;Кафе, рестораны;10106,6;1212,79
-152992737_5625932;Кафе, рестораны;7647,73;152,95
-152992737_5626070;Кафе, рестораны;3225,8;64,52
-152992737_5626197;Кафе, рестораны;18436,53;2212,38
-152992737_5626566;Кафе, рестораны;18320,93;366,42
-152992737_5626750;Кафе, рестораны;7999,67;959,96
-152992737_5626942;Кафе, рестораны;8744,93;174,9
-152992737_5627204;Кафе, рестораны;33912;678,24
-152992737_5627452;Кафе, рестораны;7638,47;152,77
-152992737_5627573;Кафе, рестораны;17336,6;866,83
-152992737_5627755;Кафе, рестораны;3704,8;185,24
-152992737_5627876;Кафе, рестораны;12616,8;630,84
-152992737_5627979;Кафе, рестораны;9184,87;183,7
-152992737_5628111;Кафе, рестораны;25773,33;3092,8
-152992737_5628313;Кафе, рестораны;5088,53;254,43
-152992737_5628480;Кафе, рестораны;11083;1329,96
-152992737_5628558;Кафе, рестораны;5939,13;296,96
-152992737_5628925;Кафе, рестораны;10171,53;508,58
-152992737_5629034;Кафе, рестораны;4197,87;83,96
-152992737_5629167;Кафе, рестораны;12928,4;258,57
-152992737_5629230;Кафе, рестораны;11563,13;1387,58
-152992737_5629381;Кафе, рестораны;16755,6;335,11
-152992737_5629538;Кафе, рестораны;44959,6;5395,15
-152992737_5629707;Кафе, рестораны;3092;371,04
-152992737_5629835;Кафе, рестораны;5109,6;102,19
-152992737_5629971;Кафе, рестораны;9973,93;1196,87
-152992737_5630170;Кафе, рестораны;6969,07;836,29
-152992737_5630304;Кафе, рестораны;18247,53;2189,7
-152992737_5630632;Кафе, рестораны;4104,33;492,52
-152992737_5630993;Кафе, рестораны;13272,07;1592,65
-152992737_5631293;Кафе, рестораны;5805,07;406,35
-152992737_5631470;Кафе, рестораны;2300,93;46,02
-152992737_5631652;Кафе, рестораны;3176,8;63,54
-152992737_5631771;Кафе, рестораны;4002,87;80,06
-152992737_5632176;Кафе, рестораны;10658,4;213,17
-152992737_5632268;Кафе, рестораны;10944,13;218,88
-152992737_5632350;Кафе, рестораны;2706,07;54,12
-152992737_5632616;Кафе, рестораны;13369,87;267,4
-152992737_5632715;Кафе, рестораны;8980,13;1077,62
-152992737_5632799;Кафе, рестораны;4451,73;89,03
-152992737_5632877;Кафе, рестораны;9701;194,02
-152992737_5632941;Кафе, рестораны;5355,73;642,69
-152992737_5633001;Кафе, рестораны;5415,67;108,31
-152992737_5633062;Кафе, рестораны;9588;191,76
-152992737_5633104;Кафе, рестораны;6036,6;724,39
-152992737_5633204;Кафе, рестораны;2588,73;51,77
-152992737_5633290;Кафе, рестораны;5648,6;112,97
-152992737_5633613;Кафе, рестораны;6173,87;740,86
-152992737_5633699;Кафе, рестораны;2378,6;47,57
-152992737_5633764;Кафе, рестораны;2013,67;241,64
-152992737_5633838;Кафе, рестораны;8741,33;437,07
-152992737_5633926;Кафе, рестораны;4445,87;88,92
-152992737_5634034;Кафе, рестораны;1854,47;37,09
-152992737_5634158;Кафе, рестораны;20617,07;412,34
-152992737_5634373;Кафе, рестораны;6192,73;309,64
-152992737_5634401;Кафе, рестораны;17277,07;2073,25
-152992737_5634579;Кафе, рестораны;1806,33;36,13
-152992737_5634721;Кафе, рестораны;1771,27;35,43
-152992737_5634778;Кафе, рестораны;5763,93;115,28
-152992737_5634854;Кафе, рестораны;2923,27;146,16
-152992737_5634920;Кафе, рестораны;1586,07;31,72
-152992737_5634977;Кафе, рестораны;6313,33;315,67
-152992737_5635069;Кафе, рестораны;45018,53;5402,22
-152992737_5635121;Кафе, рестораны;2219,67;110,98
-152992737_5635175;Кафе, рестораны;6920,93;346,05
-152992737_5635797;Кафе, рестораны;7986,73;159,73
-152992737_5635937;Кафе, рестораны;2844,67;56,89
-152992737_5636038;Кафе, рестораны;14184,6;709,23
-152992737_5636239;Кафе, рестораны;6847,6;821,71
-152992737_5636451;Кафе, рестораны;7748;929,76
-152992737_5636611;Кафе, рестораны;16445,4;328,91
-152992737_5636752;Кафе, рестораны;62556,07;7506,73
-152992737_5637064;Кафе, рестораны;5045,87;252,29
-152992737_5637211;Кафе, рестораны;15956,53;319,13
-152992737_5637444;Кафе, рестораны;37259;4471,08
-152992737_5637749;Кафе, рестораны;5839,47;116,79
-152992737_5637959;Кафе, рестораны;35962,07;719,24
-152992737_5638206;Кафе, рестораны;4109,87;205,49
-152992737_5638533;Кафе, рестораны;22666,6;453,33
-152992737_5638883;Кафе, рестораны;5069;101,38
-152992737_5640278;Кафе, рестораны;3623,07;181,15
-152992737_5640881;Кафе, рестораны;4373,67;524,84
-152992737_5641316;Кафе, рестораны;5963,2;715,58
-152992737_5641482;Кафе, рестораны;5747,07;287,35
-152992737_5641693;Кафе, рестораны;3274,07;65,48
-152992737_5641918;Кафе, рестораны;2272,87;45,46
-152992737_5642177;Кафе, рестораны;3850,73;77,01
-152992737_5642414;Кафе, рестораны;4892,93;97,86
-152992737_5642631;Кафе, рестораны;2134,87;42,7
-152992737_5642820;Кафе, рестораны;2607,8;130,39
-152992737_5642961;Кафе, рестораны;4754,13;95,08
-152992737_5643084;Кафе, рестораны;22366,87;2684,02
-152992737_5643225;Кафе, рестораны;3402,67;408,32
-152992737_5643293;Кафе, рестораны;8423,33;589,63
-152992737_5643370;Кафе, рестораны;20085,4;1004,27
-152992737_5643845;Кафе, рестораны;3936,07;78,72
-152992737_5644008;Кафе, рестораны;4343,4;86,87
-152992737_5644189;Кафе, рестораны;2577;128,85
-152992737_5644323;Кафе, рестораны;2099,93;105
-152992737_5644451;Кафе, рестораны;12209,8;1465,18
-152992737_5644632;Кафе, рестораны;16717,27;2006,07
-152992737_5644827;Кафе, рестораны;7166,53;859,98
-152992737_5644927;Кафе, рестораны;3341,13;167,06
-152992737_5645028;Кафе, рестораны;4657,27;93,15
-152992737_5645156;Кафе, рестораны;11652,13;233,04
-152992737_5645284;Кафе, рестораны;2922,8;58,46
-152992737_5645419;Кафе, рестораны;21601,8;432,04
-152992737_5645591;Кафе, рестораны;6416,73;770,01
-152992737_5645845;Кафе, рестораны;19033,27;2283,99
-152992737_5646005;Кафе, рестораны;7195,93;143,92
-152992737_5646273;Кафе, рестораны;8101;162,02
-152992737_5646370;Кафе, рестораны;10442,73;208,85
-152992737_5646944;Кафе, рестораны;7057,33;141,15
-152992737_5647370;Кафе, рестораны;2286,53;114,33
-152992737_5647588;Кафе, рестораны;4346,8;86,94
-152992737_5647779;Кафе, рестораны;6617,87;132,36
-152992737_5647993;Кафе, рестораны;5544,2;665,3
-152992737_5648166;Кафе, рестораны;2236,47;44,73
-152992737_5648247;Кафе, рестораны;15662,67;783,13
-152992737_5648443;Кафе, рестораны;93691;11242,92
-152992737_5648527;Кафе, рестораны;7962,47;159,25
-152992737_5648620;Кафе, рестораны;15368;3073,6
-152992737_5648773;Кафе, рестораны;3186,53;63,73
-152992737_5648932;Кафе, рестораны;5601,87;112,04
-152992737_5649027;Кафе, рестораны;3488,33;69,77
-152992737_5649123;Кафе, рестораны;5206,33;624,76
-152992737_5649269;Кафе, рестораны;4971,8;99,44
-152992737_5649459;Кафе, рестораны;10388,67;1246,64
-152992737_5649549;Кафе, рестораны;4829,4;241,47
-152992737_5650262;Кафе, рестораны;8372,27;167,45
-152992737_5650413;Кафе, рестораны;3988,67;199,43
-152992737_5650581;Кафе, рестораны;4040,53;484,86
-152992737_5650804;Кафе, рестораны;7160,87;143,22
-152992737_5650916;Кафе, рестораны;8633,4;172,67
-152992737_5651079;Кафе, рестораны;4278,67;213,93
-152992737_5651219;Кафе, рестораны;4645,4;232,27
-152992737_5651398;Кафе, рестораны;5437,67;271,88
-152992737_5651589;Кафе, рестораны;13976,07;279,52
-152992737_5651769;Кафе, рестораны;2634,4;52,69
-152992737_5651928;Кафе, рестораны;51323,93;6158,87
-152992737_5652115;Кафе, рестораны;7239;868,68
-152992737_5652300;Кафе, рестораны;6575;131,5
-152992737_5652461;Кафе, рестораны;4316,6;86,33
-152992737_5652559;Кафе, рестораны;5234,93;104,7
-152992737_5652577;Кафе, рестораны;3373,4;168,67
-152992737_5652676;Кафе, рестораны;5633,2;281,66
-152992737_5653137;Кафе, рестораны;2282,67;273,92
-152992737_5653195;Кафе, рестораны;5716,67;114,33
-152992737_5653275;Кафе, рестораны;8187;163,74
-152992737_5653452;Кафе, рестораны;3242,87;162,14
-152992737_5653617;Кафе, рестораны;8284;994,08
-152992737_5653852;Кафе, рестораны;29267,93;3512,15
-152992737_5654037;Кафе, рестораны;4480;89,6
-152992737_5654217;Кафе, рестораны;5497,87;109,96
-152992737_5654419;Кафе, рестораны;8237,4;164,75
-152992737_5654668;Кафе, рестораны;9070,47;181,41
-152992737_5654837;Кафе, рестораны;8090,6;161,81
-152992737_5654925;Кафе, рестораны;17323;346,46
-152992737_5655104;Кафе, рестораны;2856,87;57,14
-152992737_5655290;Кафе, рестораны;24649,67;2957,96
-152992737_5655473;Кафе, рестораны;2231;111,55
-152992737_5655587;Кафе, рестораны;5614,27;280,71
-152992737_5656174;Кафе, рестораны;5065,53;607,86
-152992737_5656336;Кафе, рестораны;9985,67;199,71
-152992737_5656490;Кафе, рестораны;4554,33;91,09
-152992737_5656562;Кафе, рестораны;5092,4;101,85
-152992737_5656722;Кафе, рестораны;2690,4;134,52
-152992737_5656875;Кафе, рестораны;4628,87;555,46
-152992737_5656991;Кафе, рестораны;3687;442,44
-152992737_5657064;Кафе, рестораны;112706,8;13524,82
-152992737_5657235;Кафе, рестораны;2389;286,68
-152992737_5657354;Кафе, рестораны;5698,53;113,97
-152992737_5657470;Кафе, рестораны;5149,93;617,99
-152992737_5657624;Кафе, рестораны;6440,07;128,8
-152992737_5657796;Кафе, рестораны;3026,4;60,53
-152992737_5657914;Кафе, рестораны;7846,6;156,93
-152992737_5658022;Кафе, рестораны;4648,6;92,97
-152992737_5658516;Кафе, рестораны;7841,6;940,99
-152992737_5658743;Кафе, рестораны;3403,53;68,07
-152992737_5658933;Кафе, рестораны;7120,53;142,41
-152992737_5658996;Кафе, рестораны;4174,6;208,73
-152992737_5659108;Кафе, рестораны;4354,27;87,09
-152992737_5659226;Кафе, рестораны;16174,33;1940,92
-152992737_5659421;Кафе, рестораны;4886,8;97,74
-152992737_5659466;Кафе, рестораны;5340,07;106,8
-152992737_5659537;Кафе, рестораны;22232,13;2667,86
-152992737_5659579;Кафе, рестораны;2966,13;148,31
-152992737_5659683;Кафе, рестораны;22536;2704,32
-152992737_5659976;Кафе, рестораны;4750,13;237,51
-152992737_5660161;Кафе, рестораны;23718,4;474,37
-152992737_5660351;Кафе, рестораны;3701,6;74,03
-152992737_5660491;Кафе, рестораны;2962,27;59,25
-152992737_5661170;Кафе, рестораны;7919,67;950,36
-152992737_5661412;Кафе, рестораны;31254,6;3750,55
-152992737_5661617;Кафе, рестораны;19326,87;2319,22
-152992737_5661895;Кафе, рестораны;5902,67;118,05
-152992737_5662089;Кафе, рестораны;6430,2;771,62
-152992737_5662305;Кафе, рестораны;4213;505,56
-152992737_5662442;Кафе, рестораны;11547,07;1385,65
-152992737_5662642;Кафе, рестораны;6231,8;124,64
-152992737_5662981;Кафе, рестораны;7394,8;147,9
-152992737_5663075;Кафе, рестораны;13526,4;1623,17
-152992737_5663286;Кафе, рестораны;29160,4;3499,25
-152992737_5663429;Кафе, рестораны;7155,27;143,11
-152992737_5663621;Кафе, рестораны;9236;1108,32
-152992737_5663748;Кафе, рестораны;3652,07;73,04
-152992737_5664237;Кафе, рестораны;4777,07;95,54
-152992737_5664343;Кафе, рестораны;3075,53;153,78
-152992737_5664590;Кафе, рестораны;1927,47;38,55
-152992737_5664731;Кафе, рестораны;2666,87;53,34
-152992737_5664844;Кафе, рестораны;1728,93;34,58
-152992737_5664930;Кафе, рестораны;3428,33;171,42
-152992737_5665006;Кафе, рестораны;3934,27;78,69
-152992737_5665113;Кафе, рестораны;3352,27;67,05
-152992737_5665198;Кафе, рестораны;3332,53;166,63
-152992737_5665247;Кафе, рестораны;3321,93;398,63
-152992737_5665309;Кафе, рестораны;3143,53;157,18
-152992737_5665347;Кафе, рестораны;7944,93;953,39
-152992737_5665480;Кафе, рестораны;19424,13;2330,9
-152992737_5666052;Кафе, рестораны;2634,93;52,7
-152992737_5667048;Кафе, рестораны;5833,33;116,67
-152992737_5667316;Кафе, рестораны;3138,33;62,77
-152992737_5667637;Кафе, рестораны;3211,53;160,58
-152992737_5667883;Кафе, рестораны;5401,13;648,14
-152992737_5668026;Кафе, рестораны;3563,07;71,26
-152992737_5668224;Кафе, рестораны;3834,2;268,39
-152992737_5668357;Кафе, рестораны;3163,13;63,26
-152992737_5668523;Кафе, рестораны;4212,8;210,64
-152992737_5668595;Кафе, рестораны;8891,47;177,83
-152992737_5668700;Кафе, рестораны;4288,07;214,4
-152992737_5668828;Кафе, рестораны;7313,6;877,63
-152992737_5668913;Кафе, рестораны;7293,07;875,17
-152992737_5669021;Кафе, рестораны;7644,6;152,89
-152992737_5669547;Кафе, рестораны;3712,47;74,25
-152992737_5669659;Кафе, рестораны;3074,73;153,74
-152992737_5669766;Кафе, рестораны;4300,93;516,11
-152992737_5669826;Кафе, рестораны;7578,13;151,56
-152992737_5669924;Кафе, рестораны;2291,6;45,83
-152992737_5670029;Кафе, рестораны;3522,6;70,45
-152992737_5670168;Кафе, рестораны;7354,2;882,5
-152992737_5670328;Кафе, рестораны;8339,47;416,97
-152992737_5670461;Кафе, рестораны;3565,13;178,26
-152992737_5670567;Кафе, рестораны;2996,6;59,93
-152992737_5670654;Кафе, рестораны;23256,07;2790,73
-152992737_5670728;Кафе, рестораны;4258,47;85,17
-152992737_5670812;Кафе, рестораны;19592,53;391,85
-152992737_5670903;Кафе, рестораны;7508,27;150,17
-152992737_5671164;Кафе, рестораны;2638,47;52,77
-152992737_5671275;Кафе, рестораны;2925,53;58,51
-152992737_5671328;Кафе, рестораны;3521,4;70,43
-152992737_5671406;Кафе, рестораны;13306,93;266,14
-152992737_5671494;Кафе, рестораны;2155,4;258,65
-152992737_5671540;Кафе, рестораны;6442,4;773,09
-152992737_5671636;Кафе, рестораны;4215,6;505,87
-152992737_5671728;Кафе, рестораны;13606,13;272,12
-152992737_5671821;Кафе, рестораны;5420,4;108,41
-152992737_5671890;Кафе, рестораны;13775,07;275,5
-152992737_5672018;Кафе, рестораны;3730,4;74,61
-152992737_5672100;Кафе, рестораны;3998,47;79,97
-152992737_5672271;Кафе, рестораны;3288,73;65,77
-152992737_5672363;Кафе, рестораны;20218,8;404,38
-152992737_5672523;Кафе, рестораны;29459,8;3535,18
-152992737_5673273;Кафе, рестораны;7372,67;884,72
-152992737_5673406;Кафе, рестораны;2054,33;246,52
-152992737_5673568;Кафе, рестораны;3621,4;181,07
-152992737_5673674;Кафе, рестораны;3866,6;77,33
-152992737_5673731;Кафе, рестораны;14369,73;718,49
-152992737_5673877;Кафе, рестораны;3211,2;385,34
-152992737_5673984;Кафе, рестораны;2120,87;42,42
-152992737_5674045;Кафе, рестораны;1672,07;200,65
-152992737_5674153;Кафе, рестораны;3193,73;159,69
-152992737_5674336;Кафе, рестораны;3137,8;376,54
-152992737_5674433;Кафе, рестораны;1529,4;76,47
-152992737_5674511;Кафе, рестораны;2447,73;48,95
-152992737_5674609;Кафе, рестораны;1672,73;33,45
-152992737_5674666;Кафе, рестораны;4043,8;80,88
-152992737_5674803;Кафе, рестораны;2872;57,44
-152992737_5674937;Кафе, рестораны;3718,93;446,27
-152992737_5675071;Кафе, рестораны;1610,13;193,22
-152992737_5675190;Кафе, рестораны;34496,2;689,92
-152992737_5675223;Кафе, рестораны;5810,07;116,2
-152992737_5676011;Кафе, рестораны;12540,4;250,81
-152992737_5676207;Кафе, рестораны;3499,4;69,99
-152992737_5676467;Кафе, рестораны;6626,33;132,53
-152992737_5676768;Кафе, рестораны;11843,53;592,18
-152992737_5676949;Кафе, рестораны;1869,2;37,38
-152992737_5677027;Кафе, рестораны;13521,53;270,43
-152992737_5677191;Кафе, рестораны;1959,67;39,19
-152992737_5677318;Кафе, рестораны;1531;30,62
-152992737_5677414;Кафе, рестораны;5714,4;685,73
-152992737_5677439;Кафе, рестораны;6146,27;122,93
-152992737_5677654;Кафе, рестораны;15444,2;772,21
-152992737_5677766;Кафе, рестораны;3459;69,18
-152992737_5677821;Кафе, рестораны;3412,07;68,24
-152992737_5678019;Кафе, рестораны;4352,73;87,05
-152992737_5678203;Кафе, рестораны;3870;464,4
-152992737_5678301;Кафе, рестораны;4745,33;569,44
-152992737_5678394;Кафе, рестораны;5407,33;108,15
-152992737_5678589;Кафе, рестораны;7882,67;157,65
-152992737_5679388;Кафе, рестораны;1757,8;35,16
-152992737_5679576;Кафе, рестораны;2695,8;53,92
-152992737_5679657;Кафе, рестораны;2760,8;55,22
-152992737_5679733;Кафе, рестораны;4061,67;81,23
-152992737_5679835;Кафе, рестораны;3856,53;77,13
-152992737_5679983;Кафе, рестораны;19530,73;2343,69
-152992737_5680183;Кафе, рестораны;21804,2;2616,5
-152992737_5680473;Кафе, рестораны;5000,47;600,06
-152992737_5680685;Кафе, рестораны;4957,73;99,15
-152992737_5680861;Кафе, рестораны;2492,53;49,85
-152992737_5681028;Кафе, рестораны;35336,47;4240,38
-152992737_5681235;Кафе, рестораны;1802,53;36,05
-152992737_5681350;Кафе, рестораны;12923,07;258,46
-152992737_5682882;Кафе, рестораны;4018,87;80,38
-152992737_5683027;Кафе, рестораны;3408,93;409,07
-152992737_5683188;Кафе, рестораны;4781,27;573,75
-152992737_5683315;Кафе, рестораны;3290,2;65,8
-152992737_5683432;Кафе, рестораны;6944,53;347,23
-152992737_5683764;Кафе, рестораны;4008,13;280,57
-152992737_5683999;Кафе, рестораны;5270,27;632,43
-152992737_5684196;Кафе, рестораны;5394,87;107,9
-152992737_5684349;Кафе, рестораны;16215,67;1945,88
-152992737_5684506;Кафе, рестораны;13850,53;1662,06
-152992737_5684616;Кафе, рестораны;7191,2;862,94
-152992737_5684717;Кафе, рестораны;14955,8;1794,7
-152992737_5685242;Кафе, рестораны;2792,8;55,86
-152992737_5685371;Кафе, рестораны;4542,87;545,14
-152992737_5685506;Кафе, рестораны;6227,2;747,26
-152992737_5685692;Кафе, рестораны;4511,2;90,22
-152992737_5685858;Кафе, рестораны;4871,8;584,62
-152992737_5685956;Кафе, рестораны;5264,07;263,2
-152992737_5686020;Кафе, рестораны;3181,07;31,81
-152992737_5686086;Кафе, рестораны;3003,27;150,16
-152992737_5686136;Кафе, рестораны;4896,07;97,92
-152992737_5686741;Кафе, рестораны;2637,33;316,48
-152992737_5686835;Кафе, рестораны;3376,27;405,15
-152992737_5686910;Кафе, рестораны;2915;145,75
-152992737_5686988;Кафе, рестораны;32232;3867,84
-152992737_5687187;Кафе, рестораны;4669,6;233,48
-152992737_5687338;Кафе, рестораны;5009,8;601,18
-152992737_5687492;Кафе, рестораны;3562,2;178,11
-152992737_5687580;Кафе, рестораны;8701,53;1044,18
-152992737_5687708;Кафе, рестораны;3551,13;71,02
-152992737_5687843;Кафе, рестораны;10229,87;204,6
-152992737_5688750;Кафе, рестораны;2648,67;317,84
-152992737_5688861;Кафе, рестораны;4441,67;533
-152992737_5689128;Кафе, рестораны;4467,73;536,13
-152992737_5689374;Кафе, рестораны;2695,73;323,49
-152992737_5689489;Кафе, рестораны;4594,33;91,89
-152992737_5689581;Кафе, рестораны;5890,07;117,8
-152992737_5689732;Кафе, рестораны;3557,73;426,93
-152992737_5689815;Кафе, рестораны;9013,67;180,27
-152992737_5689974;Кафе, рестораны;2641,87;52,84
-152992737_5690104;Кафе, рестораны;6775,4;135,51
-152992737_5690198;Кафе, рестораны;4908,27;98,17
-15755094_45218826;Аптеки, медицина;5045,93;100,92
-15755094_45218952;Аптеки, медицина;5253,93;105,08
-15755094_45219086;Аптеки, медицина;5813,67;116,27
-15755094_45219341;Аптеки, медицина;5856,53;117,13
-15755094_45219484;Аптеки, медицина;6978;139,56
-15755094_45219656;Аптеки, медицина;6817,47;136,35
-15755094_45219772;Аптеки, медицина;6990,2;349,51
-15755094_45220358;Аптеки, медицина;8472,53;169,45
-15755094_45220613;Аптеки, медицина;7705,2;924,62
-15755094_45220905;Аптеки, медицина;5844,07;116,88
-15755094_45221091;Аптеки, медицина;7455,27;894,63
-15755094_45221277;Аптеки, медицина;6026,2;120,52
-15755094_45221477;Аптеки, медицина;7168,73;358,44
-15755094_45221668;Аптеки, медицина;6045,67;725,48
-15755094_45221739;Аптеки, медицина;7075,67;141,51
-15755094_45221895;Аптеки, медицина;30047,13;3605,66
-15755094_45222087;Аптеки, медицина;6214,87;124,3
-15755094_45222264;Аптеки, медицина;5167,53;620,1
-15755094_45222329;Аптеки, медицина;5670,93;396,97
-15755094_45222585;Аптеки, медицина;5371,73;644,61
-15755094_45222863;Аптеки, медицина;5549,2;110,98
-15755094_45222977;Аптеки, медицина;6032;120,64
-15755094_45223121;Аптеки, медицина;5161,33;103,23
-15755094_45223337;Аптеки, медицина;6030,47;120,61
-15755094_45223498;Аптеки, медицина;7072,87;141,46
-15755094_45223703;Аптеки, медицина;5844,4;116,89
-15755094_45223928;Аптеки, медицина;6057,27;121,15
-15755094_45224064;Аптеки, медицина;15569,47;1868,34
-15755094_45224253;Аптеки, медицина;6764,2;135,28
-15755094_45224413;Аптеки, медицина;4815,13;577,82
-15755094_45224658;Аптеки, медицина;4666,67;560
-15755094_45224836;Аптеки, медицина;4380,4;525,65
-15755094_45224973;Аптеки, медицина;4534,13;90,68
-15755094_45225042;Аптеки, медицина;5487,47;109,75
-15755094_45225174;Аптеки, медицина;7526,4;903,17
-15755094_45225298;Аптеки, медицина;6986,2;139,72
-15755094_45225384;Аптеки, медицина;6657,13;133,14
-15755094_45225518;Аптеки, медицина;15249,27;304,99
-15755094_45225765;Аптеки, медицина;10544,47;210,89
-15755094_45225809;Аптеки, медицина;4710;235,5
-15755094_45225833;Аптеки, медицина;4596,13;229,81
-15755094_45225906;Аптеки, медицина;6787,13;135,74
-15755094_45225985;Аптеки, медицина;5803,07;116,06
-15755094_45226207;Аптеки, медицина;11702,67;1404,32
-15755094_45226404;Аптеки, медицина;18141,67;2177
-15755094_45226739;Аптеки, медицина;7125,67;142,51
-15755094_45226977;Аптеки, медицина;6034,47;120,69
-15755094_45227279;Аптеки, медицина;5002,53;100,05
